epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,15519.2,0.09381,0.10596,0.84383,0.99833,0.99058,0.99498,0.99259,0.0535,0.06832,0.74066,0.0005942,0.0005942,0.0005942
73,15706,0.09443,0.10921,0.84573,0.99834,0.99058,0.99498,0.99273,0.05151,0.06876,0.74058,0.0005744,0.0005744,0.0005744
74,15895.2,0.0933,0.10536,0.84306,0.99834,0.99058,0.99498,0.99327,0.04636,0.06001,0.73744,0.0005546,0.0005546,0.0005546
75,16082.1,0.09184,0.10171,0.84363,0.99834,0.99058,0.99497,0.99289,0.04594,0.05875,0.73781,0.0005348,0.0005348,0.0005348
76,16268.8,0.0877,0.10304,0.84273,0.99831,0.99058,0.99498,0.99306,0.04738,0.06155,0.73862,0.000515,0.000515,0.000515
77,16456.2,0.08928,0.09872,0.84463,0.99683,0.99058,0.99498,0.99276,0.04679,0.0584,0.73776,0.0004952,0.0004952,0.0004952
78,16685.3,0.08953,0.10061,0.84214,0.99682,0.99058,0.99498,0.99339,0.04618,0.05889,0.73831,0.0004754,0.0004754,0.0004754
79,16914.2,0.08924,0.10088,0.84335,0.99749,0.99058,0.99497,0.99322,0.04821,0.06072,0.73938,0.0004556,0.0004556,0.0004556
80,17143.1,0.08576,0.0988,0.84146,0.99815,0.99058,0.99497,0.99338,0.04953,0.06441,0.73936,0.0004358,0.0004358,0.0004358
81,17418.9,0.08499,0.09514,0.84373,0.999,0.99058,0.995,0.99293,0.05051,0.06496,0.73949,0.000416,0.000416,0.000416
82,17647.8,0.0837,0.09523,0.84229,0.99957,0.99058,0.995,0.99354,0.04682,0.06047,0.73872,0.0003962,0.0003962,0.0003962
83,17883.2,0.08088,0.09343,0.84313,0.99842,0.99042,0.99494,0.99355,0.04638,0.06328,0.7393,0.0003764,0.0003764,0.0003764
84,18160.9,0.0823,0.09296,0.84226,0.99939,0.99058,0.995,0.9933,0.0471,0.063,0.73934,0.0003566,0.0003566,0.0003566
85,18412.3,0.08074,0.09111,0.84091,0.99797,0.99058,0.99494,0.9927,0.04539,0.05876,0.73929,0.0003368,0.0003368,0.0003368
86,18672.2,0.07952,0.08935,0.84119,0.99781,0.99058,0.99495,0.99331,0.04469,0.05852,0.73837,0.000317,0.000317,0.000317
87,18960.1,0.07812,0.08803,0.83947,0.99781,0.99058,0.99495,0.99353,0.04512,0.05679,0.73797,0.0002972,0.0002972,0.0002972
88,19150.1,0.07721,0.08646,0.84145,0.99787,0.99058,0.99495,0.9936,0.04452,0.05647,0.73794,0.0002774,0.0002774,0.0002774
89,19339.2,0.0774,0.08734,0.84088,0.99833,0.99058,0.99497,0.99368,0.04303,0.05588,0.73718,0.0002576,0.0002576,0.0002576
90,19526.1,0.07448,0.08478,0.84054,0.99833,0.99058,0.99497,0.99385,0.04166,0.05573,0.73655,0.0002378,0.0002378,0.0002378
91,19709.5,0.08185,0.07749,0.80955,0.99833,0.99058,0.99498,0.99374,0.04074,0.05312,0.73613,0.000218,0.000218,0.000218
92,19892.2,0.08078,0.07533,0.80889,0.99833,0.99058,0.99498,0.99326,0.04286,0.05698,0.73659,0.0001982,0.0001982,0.0001982
93,20075.1,0.07665,0.06919,0.80831,0.99832,0.99058,0.99498,0.99266,0.04148,0.05517,0.7367,0.0001784,0.0001784,0.0001784
94,20257.7,0.07517,0.06739,0.80939,0.99833,0.99058,0.99498,0.99308,0.03953,0.05215,0.73627,0.0001586,0.0001586,0.0001586
95,20439.7,0.0733,0.06611,0.8114,0.99833,0.99058,0.99497,0.99283,0.03846,0.05145,0.73571,0.0001388,0.0001388,0.0001388
96,20621.9,0.07113,0.06447,0.80409,0.99832,0.99058,0.99497,0.99311,0.03801,0.05057,0.7353,0.000119,0.000119,0.000119
97,20804.2,0.06932,0.06297,0.81032,0.99833,0.99058,0.99497,0.99366,0.03805,0.05057,0.73519,9.92e-05,9.92e-05,9.92e-05
98,20986.9,0.06758,0.06123,0.80737,0.99832,0.99058,0.99497,0.99327,0.03777,0.05119,0.73521,7.94e-05,7.94e-05,7.94e-05
99,21169.6,0.06733,0.0604,0.80961,0.99833,0.99058,0.99497,0.99371,0.03721,0.05061,0.73497,5.96e-05,5.96e-05,5.96e-05
100,21352.3,0.0657,0.05861,0.80479,0.99832,0.99058,0.99498,0.99384,0.03653,0.04967,0.73471,3.98e-05,3.98e-05,3.98e-05
