epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,5345.11,1.11223,1.15596,1.18433,0.86966,0.44437,0.50658,0.259,1.754,1.39429,1.79129,0.000176094,0.000176094,0.000176094
87,5503.28,1.09853,1.14955,1.19049,0.78222,0.49423,0.52291,0.25323,1.75581,1.41848,1.72933,0.000165095,0.000165095,0.000165095
88,5539.47,1.10422,1.13875,1.17994,0.83393,0.51065,0.52691,0.26772,1.71506,1.3758,1.68639,0.000154096,0.000154096,0.000154096
89,5574.62,1.0933,1.12185,1.18171,0.79208,0.50797,0.52685,0.26031,1.71537,1.39978,1.72428,0.000143097,0.000143097,0.000143097
90,5609.71,1.0909,1.10306,1.16909,0.81891,0.47887,0.50525,0.26226,1.69741,1.36792,1.725,0.000132098,0.000132098,0.000132098
91,5644.17,1.18852,1.15756,1.22704,0.84374,0.47127,0.51308,0.26627,1.76946,1.35673,1.79915,0.000121099,0.000121099,0.000121099
92,5682.66,1.13963,1.12677,1.19228,0.82669,0.45996,0.49262,0.25571,1.73514,1.32553,1.76355,0.0001101,0.0001101,0.0001101
93,5719.12,1.10887,1.06338,1.18977,0.73529,0.50489,0.50446,0.26427,1.76358,1.32239,1.78604,9.91012e-05,9.91012e-05,9.91012e-05
94,5756.21,1.1108,1.05764,1.17515,0.80437,0.47322,0.49793,0.2604,1.73919,1.27103,1.75055,8.81023e-05,8.81023e-05,8.81023e-05
95,5793.89,1.10586,1.08016,1.17547,0.79931,0.49687,0.51028,0.27107,1.72124,1.29103,1.73086,7.71034e-05,7.71034e-05,7.71034e-05
96,5862.81,1.08631,1.0255,1.15511,0.91687,0.4626,0.4917,0.26279,1.74958,1.3391,1.74876,6.61045e-05,6.61045e-05,6.61045e-05
97,6042.99,1.06345,1.00732,1.15399,0.79433,0.47887,0.50048,0.26102,1.74556,1.29947,1.74847,5.51056e-05,5.51056e-05,5.51056e-05
98,6111.69,1.07542,1.00866,1.16014,0.83778,0.47928,0.50957,0.26533,1.739,1.2544,1.76522,4.41067e-05,4.41067e-05,4.41067e-05
99,6183.87,1.04951,1.00972,1.14375,0.83981,0.46863,0.50115,0.2708,1.71816,1.26386,1.73327,3.31078e-05,3.31078e-05,3.31078e-05
100,6258.88,1.0748,1.00442,1.15764,0.79867,0.48397,0.51016,0.27275,1.72217,1.26926,1.74021,2.21089e-05,2.21089e-05,2.21089e-05
